nombres,apellidos,partido,comuna,comuna,comuna,cargo
ERNESTO,VELASCO RODRIGUEZ,PARTIDO RADICAL DE CHILE,LA SERENA,,,
JUAN CARLOS,THENOUX CIUDAD,PARTIDO DE LA GENTE,LA SERENA,,,
DANIELA,NORAMBUENA BORGHERESI,RENOVACION NACIONAL,LA SERENA,,,ALCALDE
PAMELA SALOME,CAIMANQUE ESPEJO,INDEPENDIENTES,LA SERENA,,,
PABLO,YAÑEZ PIZARRO,INDEPENDIENTES,LA SERENA,,,
MARIELA,PARADA ENERO,INDEPENDIENTES,LA SERENA,,,
MARCELO,TELIAS ORTIZ,INDEPENDIENTES,LA SERENA,,,
FELIX ALONSO,VELASCO LADRON DE GUEVARA,INDEPENDIENTES,LA SERENA,,,
ELIZABETH,FREDES ROSALES,INDEPENDIENTES,LA SERENA,,,
ISOLDA MERCEDES,DIAZ MARTINEZ,INDEPENDIENTES,LOS VILOS,,,
CHRISTIAN FRANK,GROSS HIDALGO,PARTIDO SOCIALISTA DE CHILE,LOS VILOS,,,ALCALDE
JAIME,HERRERA FLORES,RENOVACION NACIONAL,LOS VILOS,,,
HUGO,VALDEBENITO HUERTA,INDEPENDIENTES,LOS VILOS,,,
HECTOR PATRICIO,SAN MARTIN ROJAS,INDEPENDIENTES,LOS VILOS,,,
ALVARO,SANHUEZA MARIPANGUE,INDEPENDIENTES,LOS VILOS,,,
CRISTIAN,HERRERA PEÑA,INDEPENDIENTES,MONTE PATRIA,,,ALCALDE
NICOLAS,ARAYA ASTUDILLO,UNION DEMOCRATA INDEPENDIENTE,MONTE PATRIA,,,
PIA,GALLEGUILLOS OGALDE,INDEPENDIENTES,MONTE PATRIA,,,
CAMILO,OSSANDON ESPINOZA,INDEPENDIENTES,MONTE PATRIA,,,
MARIA,GODOY MILLA,INDEPENDIENTES,OVALLE,,,
JONATHAN,ACUÑA ROJAS,PARTIDO DEMOCRATA CRISTIANO,OVALLE,,,
GERALD LUIS,CASTILLO CASTILLO,INDEPENDIENTES,OVALLE,,,
CARLOS ANTONIO,ARAYA BUGUEÑO,PARTIDO DEMOCRATAS CHILE,OVALLE,,,
RICARDO,GONZALEZ GONZALEZ,INDEPENDIENTES,OVALLE,,,
HECTOR,VEGA CAMPUSANO,INDEPENDIENTES,OVALLE,,,ALCALDE
FRANCISCO,MORGADO SALFATE,INDEPENDIENTES,OVALLE,,,
ROSA LUZ,PINTO ROJAS,FEDERACION REGIONALISTA VERDE SOCIAL,PAIHUANO,,,
HERNAN,AHUMADA AHUMADA,RENOVACION NACIONAL,PAIHUANO,,,ALCALDE
PATRICIA,ARDILES ORDENES,INDEPENDIENTES,PAIHUANO,,,
JULIO ALBERTO,RODRIGUEZ ALVAREZ,INDEPENDIENTES,PAIHUANO,,,
CAMILA ANDREA,ROJAS HONORES,FRENTE AMPLIO,PUNITAQUI,,,
CARLOS NESTOR,FAGGANI CARMONA,PARTIDO DE LA GENTE,PUNITAQUI,,,
MARIO,ORTIZ CABEZAS,EVOLUCION POLITICA,PUNITAQUI,,,
RODOLFO,CAMPUSANO DONOZO,INDEPENDIENTES,PUNITAQUI,,,
PEDRO HUMBERTO,ARAYA ZEPEDA,INDEPENDIENTES,PUNITAQUI,,,ALCALDE
PEDRO ALEJANDRO,VALDIVIA RAMIREZ,INDEPENDIENTES,PUNITAQUI,,,
JONATHAN,DIAZ FIGUEROA,INDEPENDIENTES,PUNITAQUI,,,
CARLOS MARCELO,PRADO DUBO,INDEPENDIENTES,PUNITAQUI,,,
ALBERTO,GALLARDO FLORES,INDEPENDIENTES,PUNITAQUI,,,
ADOLFO JAVIER,OYARCE TAPIA,INDEPENDIENTES,PUNITAQUI,,,
CARMEN JUANA,OLIVARES DE LA RIVERA,INDEPENDIENTES,RIO HURTADO,,,ALCALDE
SALVADOR ANSELMO,VEGA SEGOVIA,PARTIDO REPUBLICANO DE CHILE,RIO HURTADO,,,
LUIS,VEGA GONZALEZ,UNION DEMOCRATA INDEPENDIENTE,RIO HURTADO,,,
