nombres,apellidos,partido,comuna,comuna,comuna,cargo
CHRISTIAN ARTURO,CARDENAS SILVA,INDEPENDIENTES,QUILPUE,,,
ELISEO FILOMENO,MORALES HENRIQUEZ,POPULAR,QUINTERO,,,
JORGE,SAN MARTIN GUTIERREZ,INDEPENDIENTES,QUINTERO,,,
MARITZA,VERDEJO ACUÑA,RENOVACION NACIONAL,QUINTERO,,,
TAMARA,TELLO GALLO,INDEPENDIENTES,QUINTERO,,,
ROLANDO HERNAN,SILVA FUENTES,INDEPENDIENTES,QUINTERO,,,ALCALDE
JOSE RICARDO,VARAS ZUÑIGA,INDEPENDIENTES,QUINTERO,,,
JORGE YEISSON,COLLAO CANCINO,INDEPENDIENTES,QUINTERO,,,
JACQUELINE SOLEDAD,PAILLALEF VEGA,INDEPENDIENTES,QUINTERO,,,
ANDRES MARCELO,SAN MARTIN SAEZ,INDEPENDIENTES,QUINTERO,,,
ALEJANDRO IGNACIO,SEPULVEDA SANTANDER,INDEPENDIENTES,QUINTERO,,,
JUAN,CASTILLO VALLE,INDEPENDIENTES,RINCONADA,,,
GABRIELA ALEJANDRA,RUBILAR LOPEZ,INDEPENDIENTES,RINCONADA,,,
MYRIAM,ITURRIETA CRUZ,PARTIDO DEMOCRATAS CHILE,RINCONADA,,,
VALERIA,ESPINOZA ASTORGA,PARTIDO REPUBLICANO DE CHILE,RINCONADA,,,
JUAN,GALDAMES CARMONA,INDEPENDIENTES,RINCONADA,,,ALCALDE
VIVIANA,AVILA SILVA,INDEPENDIENTES,RINCONADA,,,
JUAN ANTONIO,LOBOS VIGUERA,INDEPENDIENTES,RINCONADA,,,
CARLOS,MONTENEGRO URBINA,INDEPENDIENTES,RINCONADA,,,
CARLA STEFANNY,CABELLO FIGUEROA,INDEPENDIENTES,RINCONADA,,,
PATRICIO LORENZO,SUAREZ SUAREZ,PARTIDO SOCIALISTA DE CHILE,SAN ESTEBAN,,,
RENE ALEJANDRO,MARDONES VALENCIA,INDEPENDIENTES,SAN ESTEBAN,,,
CHRISTIAN MAURICIO,ORTEGA VILLAGRAS,INDEPENDIENTES,SAN ESTEBAN,,,ALCALDE
JEHIELLY,JARUFE JOFRE,PARTIDO SOCIAL CRISTIANO,SAN FELIPE,,,
CARMEN,CASTILLO TAUCHER,INDEPENDIENTES,SAN FELIPE,,,ALCALDE
GUILLERMO DAMASO,FLORES LEIVA,PARTIDO REPUBLICANO DE CHILE,SAN FELIPE,,,
CHRISTIAN,BEALS CAMPOS,INDEPENDIENTES,SAN FELIPE,,,
PATRICIA IVONNE,BOFFA CASAS,INDEPENDIENTES,SAN FELIPE,,,
CLAUDIO PATRICIO,ZURITA IBARRA,INDEPENDIENTES,SANTA MARIA,,,ALCALDE
MARLENE LAURA,GONZALEZ AHUMADA,INDEPENDIENTES,VILLA ALEMANA,,,
EDITH MARJORIE,ALVEAR GUERRA,PARTIDO COMUNISTA DE CHILE,VILLA ALEMANA,,,
NELSON,ESTAY MOLINA,INDEPENDIENTES,VILLA ALEMANA,,,ALCALDE
JAVIERA ITALIA,TOLEDO MUÑOZ,INDEPENDIENTES,VILLA ALEMANA,,,
GUSTAVO,ALESSANDRI BASCUÑAN,INDEPENDIENTES,ZAPALLAR,,,ALCALDE
JACQUELINE,MOLINA VILLARROEL,INDEPENDIENTES,ZAPALLAR,,,
CAROLINA,LETELIER RIUMALLO,INDEPENDIENTES,ZAPALLAR,,,
GASTON,DUBOURNAIS RIVEROS,INDEPENDIENTES,ALGARROBO,,,
MARCO ANTONIO,GONZALEZ CANDIA,RENOVACION NACIONAL,ALGARROBO,,,ALCALDE
VERONICA MARICEL,CUETO CUETO,INDEPENDIENTES,ALGARROBO,,,
MARIA LUISA,HAMILTON VELASCO,INDEPENDIENTES,ALGARROBO,,,
MARCELA MARITZA,MANSILLA POTOCNJAK,INDEPENDIENTES,ALGARROBO,,,
CARLOS ORLANDO,TAPIA AVILES,INDEPENDIENTES,ALGARROBO,,,
ALEJANDRO FELIPE,RICOTTI SEPULVEDA,INDEPENDIENTES,ALGARROBO,,,
CYNTHIA,ACUÑA SILVA,PARTIDO SOCIAL CRISTIANO,CARTAGENA,,,
PATRICIA ALEJANDRA,QUIROZ PEHUENCHE,PARTIDO POR LA DEMOCRACIA,CARTAGENA,,,
RAUL EDUARDO,LORCA MERINO,PARTIDO DEMOCRATAS CHILE,CARTAGENA,,,
LIDIA,SILVA GARCIA,INDEPENDIENTES,CARTAGENA,,,ALCALDE
OSVALDO,CARTAGENA GARCIA,INDEPENDIENTES,CARTAGENA,,,
FANY ALEJANDRA,ZUÑIGA ZUÑIGA,INDEPENDIENTES,CARTAGENA,,,
FRANCISCO JAVIER,RIQUELME LOPEZ,FRENTE AMPLIO,CASABLANCA,,,
ALEXANDER GABRIEL,ARANGUIZ MEZA,PARTIDO DEMOCRATAS CHILE,CASABLANCA,,,
RODRIGO,MARTINEZ ROCA,RENOVACION NACIONAL,CASABLANCA,,,ALCALDE
MARCELO ANDRES,POZO CERDA,INDEPENDIENTES,CASABLANCA,,,
KAREN ANTONIETA,ORDOÑEZ URZUA,INDEPENDIENTES,CASABLANCA,,,
LUIS FELIPE,CAMPODONICO ESPINOZA,PARTIDO DE LA GENTE,CONCON,,,
PABLO ESTEBAN,ROJAS DAYDI,INDEPENDIENTES,CONCON,,,
ILEN CAROLINA,SAEZ LARRAVIDE,INDEPENDIENTES,CONCON,,,
FREDDY ANTONIO,RAMIREZ VILLALOBOS,INDEPENDIENTES,CONCON,,,ALCALDE
ARIEL,SOTO LUCERO,INDEPENDIENTES,CONCON,,,
NATALIA,CARRASCO PIZARRO,PARTIDO DEMOCRATA CRISTIANO,EL QUISCO,,,
JOSE,MORAGA LIRA,INDEPENDIENTES,EL QUISCO,,,
LEONARDO FRANCISCO,GOMEZ VALDES,INDEPENDIENTES,EL QUISCO,,,
JOSE ANTONIO,JOFRE BUSTOS,INDEPENDIENTES,EL QUISCO,,,ALCALDE
ALFONSO ADRIAN,MUÑOZ ARAVENA,PARTIDO SOCIALISTA DE CHILE,EL TABO,,,ALCALDE
MAXIMILIANO ESTEBAN,AVILES MARAMBIO,INDEPENDIENTES,EL TABO,,,
MARIBEL ANDREA,LEIVA CABRERA,INDEPENDIENTES,EL TABO,,,
JOSE ANTONIO,VEAS BERRIOS,INDEPENDIENTES,EL TABO,,,
GLORIA,CARRASCO NUÑEZ,INDEPENDIENTES,EL TABO,,,
ALVARO,SANTANA CONTRERAS,INDEPENDIENTES,EL TABO,,,
JULIETTE,HOTUS PAOA,INDEPENDIENTES,ISLA DE PASCUA,,,
CAMILO ALEJANDRO,RAPU RIROROKO,INDEPENDIENTES,ISLA DE PASCUA,,,
MAI,TEAO OSORIO,RENOVACION NACIONAL,ISLA DE PASCUA,,,
ELIZABETH JOANA,AREVALO PAKARATI,INDEPENDIENTES,ISLA DE PASCUA,,,ALCALDE
PABLO ANDRES,MANRIQUEZ ANGULO,INDEPENDIENTES,JUAN FERNANDEZ,,,ALCALDE
LEOPOLDO,GONZALEZ CHARPENTIER,RENOVACION NACIONAL,JUAN FERNANDEZ,,,
ALVARO JOSE IGNACIO,CASANOVA MORA,INDEPENDIENTES,SAN ANTONIO,,,
GONZALO ANDRES,VEGA MORENO,INDEPENDIENTES,SAN ANTONIO,,,
ENRIQUE JAIME,BAHAMONDE LAGOS,PARTIDO REPUBLICANO DE CHILE,SAN ANTONIO,,,
OMAR,VERA CASTRO,INDEPENDIENTES,SAN ANTONIO,,,ALCALDE
MARIO DEL CARMEN,BOTRO MOYA,INDEPENDIENTES,SAN ANTONIO,,,
MARIA CONSTANZA,LIZANA SIERRA,INDEPENDIENTES,SAN ANTONIO,,,
AUGUSTO,PINOCHET MOLINA,INDEPENDIENTES,SANTO DOMINGO,,,
DINO,LOTITO FLORES,RENOVACION NACIONAL,SANTO DOMINGO,,,
FERNANDO JOSE,RODRIGUEZ LARRAIN,INDEPENDIENTES,SANTO DOMINGO,,,ALCALDE
ALEXIS,OLIVEROS AGUILAR,INDEPENDIENTES,VALPARAISO,,,
CAMILA TATIANA,NIETO HERNANDEZ,FRENTE AMPLIO,VALPARAISO,,,ALCALDE
JUAN MARCELO,VALENZUELA HENRIQUEZ,PARTIDO DE LA GENTE,VALPARAISO,,,
MARCELA PATRICIA,FIGUEROA KUPFER,INDEPENDIENTES,VALPARAISO,,,
RAFAEL,GONZALEZ CAMUS,INDEPENDIENTES,VALPARAISO,,,
ZULIANA ALEJANDRA,ARAYA GUTIERREZ,INDEPENDIENTES,VALPARAISO,,,
RODRIGO ALEJANDRO,DIAZ YUBERO,INDEPENDIENTES,VALPARAISO,,,
CARLA ELENA,MEYER ARANCIBIA,INDEPENDIENTES,VALPARAISO,,,
MANUEL ALEJANDRO,DIAZ BARRAZA,INDEPENDIENTES,VIÑA DEL MAR,,,
MACARENA CAROLINA,RIPAMONTI SERRANO,FRENTE AMPLIO,VIÑA DEL MAR,,,ALCALDE
IVAN,PODUJE CAPDEVILLE,INDEPENDIENTES,VIÑA DEL MAR,,,
JUAN,CARRASCO RODRIGUEZ,INDEPENDIENTES,CODEGUA,,,
ANA MARIA,SILVA GUTIERREZ,PARTIDO DEMOCRATAS CHILE,CODEGUA,,,
PATRICIO ADAN,CASTRO CARRILLO,INDEPENDIENTES,CODEGUA,,,
SEBASTIAN,PADILLA ORTEGA,INDEPENDIENTES,CODEGUA,,,
JOSE,FLORES OSORIO,INDEPENDIENTES,CODEGUA,,,ALCALDE
ANGEL RODRIGO,GONZALEZ CARRASCO,INDEPENDIENTES,COINCO,,,
CARLOS,MUÑOZ RIVERA,EVOLUCION POLITICA,COINCO,,,
JUAN,ABARCA PADILLA,INDEPENDIENTES,COINCO,,,ALCALDE
RUBEN ENRIQUE,JORQUERA VIDAL,INDEPENDIENTES,COLTAUCO,,,
FELIX,SANCHEZ VERGARA,RENOVACION NACIONAL,COLTAUCO,,,ALCALDE
MARCIAL,ABARCA ORELLANA,INDEPENDIENTES,COLTAUCO,,,
PATRICIO ANDRES,LABRA QUIROZ,INDEPENDIENTES,DOÑIHUE,,,
MACARENA EVELYN,FIERRO CONTRERAS,INDEPENDIENTES,DOÑIHUE,,,
RODRIGO,SOTO CESPEDES,PARTIDO ALIANZA VERDE POPULAR,DOÑIHUE,,,
PABLA,PONCE VALLE,INDEPENDIENTES,DOÑIHUE,,,
JOSE LUIS,FERNANDEZ HENRIQUEZ,INDEPENDIENTES,DOÑIHUE,,,
ENA MARIA CATHERINE,OLIVARES BONATICI,INDEPENDIENTES,DOÑIHUE,,,
BORIS,ACUÑA GONZALEZ,INDEPENDIENTES,DOÑIHUE,,,ALCALDE
JORGE,MARTINEZ OYARCE,INDEPENDIENTES,GRANEROS,,,
IÑAKI,BUSTO BERASALUCE,INDEPENDIENTES,GRANEROS,,,
MARCELO,MIÑAÑIR MATUS,INDEPENDIENTES,GRANEROS,,,ALCALDE
GONZALO,SANDOVAL ALISTE,INDEPENDIENTES,GRANEROS,,,
FERNANDO ANDRES,PUENTES ARANEDA,INDEPENDIENTES,GRANEROS,,,
CLAUDIO,ARELLANO CORTES,INDEPENDIENTES,GRANEROS,,,
JOSE MIGUEL,URRUTIA CELIS,INDEPENDIENTES,MACHALI,,,
JUAN CARLOS,ABUD PARRA,INDEPENDIENTES,MACHALI,,,ALCALDE
LUIS MANUEL,BARRA VILLANUEVA,INDEPENDIENTES,MALLOA,,,ALCALDE
JUAN MANUEL,MAGAÑA RUBIO,INDEPENDIENTES,MALLOA,,,
RICARDO,GONZALEZ TORRES,INDEPENDIENTES,MALLOA,,,
SANTIAGO AQUILES,GARATE ESPINOZA,INDEPENDIENTES,MOSTAZAL,,,
LAURA,CORREA FUENTES,INDEPENDIENTES,MOSTAZAL,,,
SERGIO,MEDEL ACOSTA,UNION DEMOCRATA INDEPENDIENTE,MOSTAZAL,,,
VERONICA,ARROYO ARANCIBIA,INDEPENDIENTES,MOSTAZAL,,,ALCALDE
CARLA PAZ,GUAJARDO POZO,INDEPENDIENTES,OLIVAR,,,
MARIA ESTRELLA,MONTERO CARRASCO,INDEPENDIENTES,OLIVAR,,,ALCALDE
SERGIO ALEJANDRO,ARAVENA FLORES,INDEPENDIENTES,OLIVAR,,,
NELSON PATRICIO,BARRIOS OROSTEGUI,INDEPENDIENTES,QUINTA DE TILCOCO,,,
LUIS ENRIQUE,JIMENEZ PIZARRO,INDEPENDIENTES,QUINTA DE TILCOCO,,,
SEBASTIAN,RODRIGUEZ FUENZALIDA,INDEPENDIENTES,QUINTA DE TILCOCO,,,ALCALDE
MONICA,MATUS RIVAS,INDEPENDIENTES,QUINTA DE TILCOCO,,,
LUIS,GALVEZ CASTILLO,INDEPENDIENTES,QUINTA DE TILCOCO,,,
ARTURO GERARDO,URIBE AGUILERA,INDEPENDIENTES,QUINTA DE TILCOCO,,,
MARIA ALEJANDRA,YAÑEZ MUÑOZ,INDEPENDIENTES,RANCAGUA,,,
VALENTINA BELEN,CACERES MONSALVEZ,INDEPENDIENTES,RANCAGUA,,,
RAFAEL,CORNEJO RIQUELME,INDEPENDIENTES,RANCAGUA,,,
RAIMUNDO,AGLIATI MARCHANT,INDEPENDIENTES,RANCAGUA,,,ALCALDE
NICOLAS,SALGADO AHUMADA,INDEPENDIENTES,RANCAGUA,,,
KAREN,LORCA SAAVEDRA,INDEPENDIENTES,RENGO,,,
DENISSE TAMARA,LEON ROJAS,PARTIDO REPUBLICANO DE CHILE,RENGO,,,
ENRIQUE,DEL BARRIO HERNANDEZ,INDEPENDIENTES,RENGO,,,ALCALDE
SAMANTA,JORQUERA JORQUERA,INDEPENDIENTES,RENGO,,,
FRANCISCO,GONZALEZ ALEGRIA,INDEPENDIENTES,RENGO,,,
ALVARO VALENTIN,LIZANA FUENTES,INDEPENDIENTES,RENGO,,,
WALDO ANTONIO,VALDIVIA MONTECINOS,INDEPENDIENTES,REQUINOA,,,ALCALDE
ANTONIO,HECHEM PEREZ,UNION DEMOCRATA INDEPENDIENTE,REQUINOA,,,
LUIS ANTONIO,SILVA VARGAS,INDEPENDIENTES,REQUINOA,,,
LEONARDO,PEÑALOZA MEDINA,INDEPENDIENTES,REQUINOA,,,
FABIAN,SOTO GONZALEZ,PARTIDO SOCIALISTA DE CHILE,CHEPICA,,,ALCALDE
MAX,CANALES CASTRO,PARTIDO DE LA GENTE,CHEPICA,,,
IVAN,VALENZUELA PALACIOS,INDEPENDIENTES,CHEPICA,,,
DORIS EDITH,RODRIGUEZ ZAVALLA,INDEPENDIENTES,CHIMBARONGO,,,
MARCO ANTONIO,CONTRERAS JORQUERA,INDEPENDIENTES,CHIMBARONGO,,,ALCALDE
CARLOS GERMAN,REYES FECCI,INDEPENDIENTES,CHIMBARONGO,,,
VALENTIN GERONIMO,VIDAL RUBIO,INDEPENDIENTES,LA ESTRELLA,,,ALCALDE
CECILIA,ACUÑA CACERES,INDEPENDIENTES,LA ESTRELLA,,,
GASTON,FERNANDEZ MORI,INDEPENDIENTES,LA ESTRELLA,,,
GUIDO,PEREZ MALDONADO,INDEPENDIENTES,LAS CABRAS,,,
JUAN PABLO,FLORES ASTORGA,PARTIDO SOCIALISTA DE CHILE,LAS CABRAS,,,ALCALDE
CARLOS,ROMERO MARTINEZ,UNION DEMOCRATA INDEPENDIENTE,LAS CABRAS,,,
RIGOBERTO,LEIVA PARRA,INDEPENDIENTES,LAS CABRAS,,,
JAIME,FABIA REYES,INDEPENDIENTES,LAS CABRAS,,,
GONZALO,RUBIO FUENZALIDA,INDEPENDIENTES,LAS CABRAS,,,
ALEJANDRA,BAEZA PEREIRA,INDEPENDIENTES,LAS CABRAS,,,
ARACELLI,FIGUEROA NAHUELCURA,INDEPENDIENTES,LITUECHE,,,
BERNARDO,CORNEJO CERON,INDEPENDIENTES,LITUECHE,,,
RODRIGO,PALOMINOS VIDAL,INDEPENDIENTES,LITUECHE,,,ALCALDE
WILLIAMS FERNANDO,DONOSO LISBOA,INDEPENDIENTES,LITUECHE,,,
PATRICIO GERARDO,FERNANDEZ TAPIA,INDEPENDIENTES,LITUECHE,,,
TITO,CORREA VERDUGO,RENOVACION NACIONAL,LOLOL,,,
JOSE,ROMAN CHAVEZ,INDEPENDIENTES,LOLOL,,,ALCALDE
CORINA,DIAZ ARANCIBIA,INDEPENDIENTES,LOLOL,,,
CRISTIAN,SALINAS HERRERA,INDEPENDIENTES,MARCHIGUE,,,
SEBASTIAN,FLORES LABARCA,INDEPENDIENTES,MARCHIGUE,,,ALCALDE
CARLOS,CERON MORENO,INDEPENDIENTES,MARCHIGUE,,,
LUIS EDUARDO,ESCANILLA GAETE,PARTIDO SOCIALISTA DE CHILE,NANCAGUA,,,
RODRIGO,SEPULVEDA TAGLE,INDEPENDIENTES,NANCAGUA,,,
MARIO,BUSTAMANTE SALINAS,INDEPENDIENTES,NANCAGUA,,,
MARINA,RENCORET FUENZALIDA,INDEPENDIENTES,NANCAGUA,,,
MARCELO,HORTA HORTA,INDEPENDIENTES,NANCAGUA,,,
FERNANDO,GUERRERO SALINAS,INDEPENDIENTES,NANCAGUA,,,
ANIBAL,VALENZUELA CARIZ,INDEPENDIENTES,NANCAGUA,,,ALCALDE
YANKO,BLUMEN ANTIVILO,INDEPENDIENTES,NAVIDAD,,,ALCALDE
LAUTARO,FARIAS ORTEGA,INDEPENDIENTES,NAVIDAD,,,
PRISSILA NATALY,FARIAS MORALES,INDEPENDIENTES,NAVIDAD,,,
PAMELA,MORALES ROLDAN,INDEPENDIENTES,NAVIDAD,,,
JUAN ESTEBAN,GONZALEZ ROMAN,INDEPENDIENTES,NAVIDAD,,,
HUGO,VARGAS CORDOVA,PARTIDO DEMOCRATA CRISTIANO,PALMILLA,,,
MARIA ISABEL,MORAGA CORDOVA,INDEPENDIENTES,PALMILLA,,,
CARLOS,CARRERO PEREZ,INDEPENDIENTES,PALMILLA,,,ALCALDE
MARGARITA,CATALAN PARADA,INDEPENDIENTES,PAREDONES,,,
GABRIELA,LEIVA LOPEZ,INDEPENDIENTES,PAREDONES,,,
MOISES,CARVACHO VARGAS,RENOVACION NACIONAL,PAREDONES,,,ALCALDE
JOHNY,CORNEJO ORDENES,INDEPENDIENTES,PAREDONES,,,
HERNALDO ANDRES,AHUMADA CHAVEZ,INDEPENDIENTES,PAREDONES,,,
EMILIANO,GUERRERO TORRES,INDEPENDIENTES,PAREDONES,,,
ARIEL HERNAN,VALENZUELA FUENZALIDA,INDEPENDIENTES,PAREDONES,,,
CLAUDIO ABRAHAM,CUMSILLE CHOMALI,PARTIDO SOCIALISTA DE CHILE,PERALILLO,,,ALCALDE
GERARDO JOSE CARLOS,CORNEJO PEREZ,INDEPENDIENTES,PERALILLO,,,
JOSE,RIVERA SALDAÑA,UNION DEMOCRATA INDEPENDIENTE,PERALILLO,,,
ROBERTO,MICHELINI PANDOLFI,INDEPENDIENTES,PERALILLO,,,
FABIAN,GUAJARDO LEON,INDEPENDIENTES,PERALILLO,,,
FERMIN ALEJANDRO,CARREÑO CARREÑO,INDEPENDIENTES,PEUMO,,,ALCALDE
CARLOS ARIEL,ALIAGA DONOSO,INDEPENDIENTES,PEUMO,,,
MARCOS,FUENTES ULLOA,PARTIDO DEMOCRATA CRISTIANO,PICHIDEGUA,,,
MARCELO ALBERTO,ESPINOZA OVALLE,INDEPENDIENTES,PICHIDEGUA,,,
PEDRO PABLO,SOLIS URRUTIA,INDEPENDIENTES,PICHIDEGUA,,,
ALEXIS,SANCHEZ CONTRERAS,INDEPENDIENTES,PICHIDEGUA,,,
ADOLFO,CERON GONZALEZ,INDEPENDIENTES,PICHIDEGUA,,,ALCALDE
CRISTIAN ANDRES,POZO PARRAGUEZ,PARTIDO SOCIALISTA DE CHILE,PICHILEMU,,,
TOBIAS,ACUÑA CSILLAG,INDEPENDIENTES,PICHILEMU,,,
ROBERTO,CORDOVA CARREÑO,INDEPENDIENTES,PICHILEMU,,,ALCALDE
JORGE LUIS,URZUA GARCIA,INDEPENDIENTES,PICHILEMU,,,
ROSA,TORRES ESCOBEDO,INDEPENDIENTES,PLACILLA,,,
MARCELO,GONZALEZ FARIAS,PARTIDO DEMOCRATA CRISTIANO,PLACILLA,,,ALCALDE
CAROLA,GONZALEZ INOSTROZA,INDEPENDIENTES,PLACILLA,,,
PAULA,SILVA SANTIBAÑEZ,INDEPENDIENTES,PLACILLA,,,
NICOLE ALEJANDRA,GALAZ CABELLO,INDEPENDIENTES,PLACILLA,,,
CHRISTIAN JOSE,CONTRERAS ORELLANA,INDEPENDIENTES,PLACILLA,,,
ARMANDO,REBOLLEDO BECERRA,INDEPENDIENTES,PLACILLA,,,
MARINA EUGENIA,GUZMAN ARANEDA,INDEPENDIENTES,PUMANQUE,,,
GONZALO,BARAONA BEZANILLA,INDEPENDIENTES,PUMANQUE,,,ALCALDE
CHRISTOPHER,VIAL MANSILLA,INDEPENDIENTES,PUMANQUE,,,
MARIA JOSE,DIAZ BECERRA,PARTIDO POR LA DEMOCRACIA,SAN FERNANDO,,,
JUAN CARLOS,MELENDEZ SANTELICES,MOVIMIENTO AMARILLOS POR CHILE,SAN FERNANDO,,,
PABLO,SILVA PEREZ,INDEPENDIENTES,SAN FERNANDO,,,ALCALDE
XIMENA,FLORES PEÑALOZA,INDEPENDIENTES,SAN FERNANDO,,,
JULIO,PERALTA ESPINDOLA,INDEPENDIENTES,SAN FERNANDO,,,
CRISTIAN,DIAZ CORREA,INDEPENDIENTES,SAN FERNANDO,,,
ANDRES,JORQUERA CIFUENTES,INDEPENDIENTES,SAN FERNANDO,,,
CARLOS PATRICIO,CISTERNA PAVEZ,PARTIDO SOCIALISTA DE CHILE,SANTA CRUZ,,,
YAMIL,ETHIT ROMERO,INDEPENDIENTES,SANTA CRUZ,,,ALCALDE
DIEGO,RAMIREZ DONOSO,INDEPENDIENTES,SANTA CRUZ,,,
BRYAN NICOLAS,MORENO SILVA,INDEPENDIENTES,SANTA CRUZ,,,
JORGE LUIS,PAVEZ ROZAS,FRENTE AMPLIO,SAN VICENTE,,,
JOSE PABLO,DONOSO URZUA,PARTIDO REPUBLICANO DE CHILE,SAN VICENTE,,,
GUIDO,CARREÑO REYES,UNION DEMOCRATA INDEPENDIENTE,SAN VICENTE,,,ALCALDE
VIRGINIA,TRONCOSO HELLMAN,INDEPENDIENTES,SAN VICENTE,,,
GABRIELA,SOTO CISTERNAS,INDEPENDIENTES,SAN VICENTE,,,
FRANCISCO,CANALES CERON,INDEPENDIENTES,SAN VICENTE,,,
EDINSON RAFAEL,TORO ROJAS,INDEPENDIENTES,SAN VICENTE,,,
FABIAN,PEREZ HERRERA,PARTIDO RADICAL DE CHILE,CONSTITUCION,,,
CARLOS,VALENZUELA GAJARDO,INDEPENDIENTES,CONSTITUCION,,,ALCALDE
RODRIGO ALEXIS,VELOSO URRUTIA,INDEPENDIENTES,CONSTITUCION,,,
MARINA GUADALUPE,MUÑOZ RIQUELME,INDEPENDIENTES,CONSTITUCION,,,
CAROLINA,MANRIQUEZ CACERES,INDEPENDIENTES,CONSTITUCION,,,
CARLOS BENJAMIN,SANTA MARIA SANTA MARIA,INDEPENDIENTES,CONSTITUCION,,,
OSVALDO ALFONSO,BARRIOS CASTILLO,INDEPENDIENTES,CUREPTO,,,
JOSE MANUEL,VALENZUELA GAJARDO,INDEPENDIENTES,CUREPTO,,,
FERNANDO,ALCANTARA BARRIOS,INDEPENDIENTES,CUREPTO,,,ALCALDE
EDWIN RENE,ARANCIBIA ROJAS,INDEPENDIENTES,CUREPTO,,,
JAVIER,AHUMADA RAMIREZ,INDEPENDIENTES,CURICO,,,
CELSO,MORALES MUÑOZ,UNION DEMOCRATA INDEPENDIENTE,CURICO,,,
PAMELA ANDREA,HENRIQUEZ ROJAS,INDEPENDIENTES,CURICO,,,
INES ROSA MERCEDES,NUÑEZ MENDEZ,INDEPENDIENTES,CURICO,,,
GEORGE RAPHAEL,BORDACHAR SOTOMAYOR,INDEPENDIENTES,CURICO,,,ALCALDE
CARLOS FELIPE,DREWS RUBILAR,INDEPENDIENTES,CURICO,,,
GONZALO ANTONIO,TEJOS PEREZ,INDEPENDIENTES,EMPEDRADO,,,
FRANCO,SCAPPATICCIO BORDON,INDEPENDIENTES,EMPEDRADO,,,
CARLOS ALBERTO,CORREA MIÑOS,INDEPENDIENTES,EMPEDRADO,,,ALCALDE
CAROLINA,MUÑOZ NUÑEZ,PARTIDO DEMOCRATA CRISTIANO,HUALAÑE,,,ALCALDE
ARIEL,RETAMAL BENAVIDES,INDEPENDIENTES,HUALAÑE,,,
RAUL ANDRES,DONOSO ARCE,INDEPENDIENTES,HUALAÑE,,,
VALERIE,COFFIN FUENZALIDA,PARTIDO RADICAL DE CHILE,LICANTEN,,,
ARIEL,ESPINOZA CERPA,RENOVACION NACIONAL,LICANTEN,,,
CLAUDIO ALEJANDRO,REYES FUENZALIDA,INDEPENDIENTES,LICANTEN,,,ALCALDE
ALVARO CHRISTIAN,DONOSO PAVEZ,INDEPENDIENTES,LICANTEN,,,
SCARLETT,CARRASCO QUIROZ,PARTIDO SOCIAL CRISTIANO,MAULE,,,
PABLO,LUNA AMIGO,PARTIDO DEMOCRATA CRISTIANO,MAULE,,,ALCALDE
JUAN EDUARDO,GUZMAN RAMIREZ,INDEPENDIENTES,MAULE,,,
HERNANDO,DURAN PALMA,INDEPENDIENTES,MAULE,,,
JUAN JESUS,HERRERA FUENTES,INDEPENDIENTES,MAULE,,,
SEBASTIAN DAVID,VERGARA HERNANDEZ,FRENTE AMPLIO,MOLINA,,,
GIOVANNA,PAREDES CASTILLO,INDEPENDIENTES,MOLINA,,,
MARCELO ALEJANDRO,LOBOS VERGARA,INDEPENDIENTES,MOLINA,,,
GONZALO EDUARDO,URZUA ARRIAGADA,INDEPENDIENTES,MOLINA,,,
GABRIEL,SILVA GONZALEZ,INDEPENDIENTES,MOLINA,,,
FELIPE,MENDEZ GUZMAN,INDEPENDIENTES,MOLINA,,,ALCALDE
ROBERTO GERMAN,SILVA ADI,PARTIDO POR LA DEMOCRACIA,PELARCO,,,
JOHAN,GUERRA AGUERO,INDEPENDIENTES,PELARCO,,,
SHIRLEY PAOLA,VASCONCELLOS POBLETE,INDEPENDIENTES,PELARCO,,,
BORIS,CABRERA LAZO,INDEPENDIENTES,PELARCO,,,ALCALDE
ALFREDO DE JESUS,PEREZ LEIVA,INDEPENDIENTES,PELARCO,,,
JOSE MIGUEL,TOBAR ARAVENA,INDEPENDIENTES,PENCAHUE,,,ALCALDE
OSVALDO,HERRERA VALDES,INDEPENDIENTES,PENCAHUE,,,
RUBEN OSVALDO,FAUNDEZ GOMEZ,INDEPENDIENTES,PENCAHUE,,,
MARCELO ALEJANDRO,VIEDMA VILLAMAN,INDEPENDIENTES,PENCAHUE,,,
CLAUDIA,MEDINA HERNANDEZ,INDEPENDIENTES,RAUCO,,,ALCALDE
ELIZABETH PAOLA,CANALES IBARRA,INDEPENDIENTES,RAUCO,,,
PABLO ANDRES,MUÑOZ MORALES,INDEPENDIENTES,RAUCO,,,
PATRICIO OSVALDO,PONCE ALVAREZ,INDEPENDIENTES,RAUCO,,,
PABLO,CHAVEZ VALDERRAMA,INDEPENDIENTES,RAUCO,,,
MAURICIO HERNAN,FARIAS MOLINA,INDEPENDIENTES,RAUCO,,,
MANUEL JESUS,POBLETE NAVARRO,INDEPENDIENTES,RAUCO,,,
LUIS GABRIEL,QUEZADA HERRERA,INDEPENDIENTES,RAUCO,,,
ISMAEL ENRIQUE,SAN MARTIN AGUILERA,INDEPENDIENTES,RAUCO,,,
ANA PAOLA,PONCE ROJAS,INDEPENDIENTES,RAUCO,,,
CAROLINA ANDREA,TAPIA MONTALVAN,PARTIDO SOCIALISTA DE CHILE,RIO CLARO,,,
