rut,nombres,apellidos,cargo,comuna,partido
,Claudio,Gonzalez Navarro,Alcalde,Corral,Renovacion Nacional
,Fernando Javier,Flandez Montecinos,Alcalde,Futrono,Partido Por La Democracia
,Miguel Angel,Meza Shwenke,Alcalde,Lago Ranco,Renovacion Nacional
,Juan,Rocha Aguilera,Alcalde,Lanco,Partido Socialista De Chile
,Saturnino Casimiro,Quezada Solis,Alcalde,La Union,Independientes
,Victor,Fritz Aguayo,Alcalde,Los Lagos,Independientes
,Andres,Lara Martinez,Alcalde,Mafil,Independientes
,Guillermo Rolando,Mitre Gatica,Alcalde,Mariquina,Independientes
,Cristian,Navarrete Quezada,Alcalde,Paillaco,Independientes
,Rodrigo,Valdivia Orias,Alcalde,Panguipulli,Partido Socialista De Chile
,Luis,Reyes Alvarez,Alcalde,Rio Bueno,Independientes
,Carla Andrea,Amtmann Fecci,Alcalde,Valdivia,Frente Amplio
,Orlando Severo,Vargas Pizarro,Alcalde,Arica,Independientes
,Cristian,Zavala Soto,Alcalde,Camarones,Partido Democrata Cristiano
,Alex Fernando,Castillo Blas,Alcalde,General Lagos,Partido Republicano De Chile
,Javier,Tito Huaylla,Alcalde,Putre,Independientes
,Gonzalo,Bustamante Troncoso,Alcalde,Bulnes,Independientes
,Camilo Francisco,Benavente Jimenez,Alcalde,Chillan,Partido Por La Democracia
,Jorge Andres,Del Pozo Pastene,Alcalde,Chillan Viejo,Independientes
,Jorge Eduardo,Romero Villalobos,Alcalde,Cobquecura,Independientes
,Alejandro Rodrigo,Pedreros Urrutia,Alcalde,Coelemu,Independientes
,Wilson Enrique,Palma Jelves,Alcalde,Coihueco,Independientes
,Renan,Cabezas Arroyo,Alcalde,El Carmen,Renovacion Nacional
,Luis,Molina Melo,Alcalde,Ninhue,Independientes
,Ariel Ignacio,Miranda Vallejos,Alcalde,Ñiquen,Independientes
,Johnnson,Guiñez Nuñez,Alcalde,Pemuco,Independientes
,Jairo,Del Pino Lema,Alcalde,Pinto,Independientes
,Juan Carlos,Ramirez Sepulveda,Alcalde,Portezuelo,Independientes
,Felipe Ignacio,Catalan Venegas,Alcalde,Quillon,Independientes
,Eduardo,Redlich Mardones,Alcalde,Quirihue,Independientes
,Nicolas,Torres Ovalle,Alcalde,Ranquil,Renovacion Nacional
,Ruben,Mendez Venegas,Alcalde,San Carlos,Independientes
,Cristofer Antonio,Valdes Gonzalez,Alcalde,San Fabian,Independientes
,Patricio,Suazo Romero,Alcalde,San Ignacio,Renovacion Nacional
,Victor Ramon,Toro Leiva,Alcalde,San Nicolas,Independientes
,Jorge,Morales Sanhueza,Alcalde,Trehuaco,Independientes
,Rafael,Cifuentes Rodriguez,Alcalde,Yungay,Partido Socialista De Chile
